week_ending,cell,cause_code,part_number,quantity_scrapped,weight_lbs,cost_usd
2026-06-14,Molding,P02,KC-1022,48,2291,9395
2026-06-14,Molding,P01,KC-1022,20,975,3999
2026-06-14,Molding,P03,KC-1022,14,659,2701
2026-06-14,Melting,M01,KC-1022,16,768,3148
2026-06-14,Melting,M03,KC-1022,14,667,2735
2026-06-14,Core Room,C01,KC-1030,1,487,1997
2026-06-14,Heat Treat,H01,KC-1001,3,478,1959
2026-06-14,Finishing,D01,KC-1030,1,377,1547
2026-06-14,Inspection,S01,KC-1001,1,203,831
2026-06-21,Molding,P02,KC-1001,16,3048,12496
2026-06-21,Molding,P01,KC-1001,6,1099,4504
2026-06-21,Molding,P03,KC-1001,3,591,2425
2026-06-21,Melting,M01,KC-1001,5,863,3540
2026-06-21,Melting,M03,KC-1001,4,744,3051
2026-06-21,Core Room,C01,KC-1004,8,523,2143
2026-06-21,Heat Treat,H01,KC-1007,51,483,1979
2026-06-21,Finishing,D01,KC-1004,5,348,1427
2026-06-21,Inspection,S01,KC-1007,25,236,967
2026-06-28,Molding,P02,KC-1007,383,3642,14931
2026-06-28,Molding,P01,KC-1007,114,1081,4434
2026-06-28,Molding,P03,KC-1007,60,568,2330
2026-06-28,Melting,M01,KC-1007,93,880,3610
2026-06-28,Melting,M03,KC-1007,82,783,3209
2026-06-28,Core Room,C01,KC-1015,2,502,2060
2026-06-28,Heat Treat,H01,KC-1018,83,497,2039
2026-06-28,Finishing,D01,KC-1015,2,370,1515
2026-06-28,Inspection,S01,KC-1018,38,227,931
2026-07-05,Molding,P02,KC-1018,751,4506,18476
2026-07-05,Molding,P01,KC-1018,175,1047,4294
2026-07-05,Molding,P03,KC-1018,93,558,2286
2026-07-05,Melting,M01,KC-1018,150,901,3693
2026-07-05,Melting,M03,KC-1018,133,796,3264
2026-07-05,Core Room,C01,KC-1026,54,456,1868
2026-07-05,Heat Treat,H01,KC-1030,1,518,2124
2026-07-05,Finishing,D01,KC-1026,42,359,1470
2026-07-05,Inspection,S01,KC-1030,1,228,934
2026-07-12,Molding,P02,KC-1030,13,5210,21363
2026-07-12,Molding,P01,KC-1030,3,1147,4703
2026-07-12,Molding,P03,KC-1030,1,533,2187
2026-07-12,Melting,M01,KC-1030,2,801,3285
2026-07-12,Melting,M03,KC-1030,2,865,3545
2026-07-12,Core Room,C01,KC-1002,23,504,2065
2026-07-12,Heat Treat,H01,KC-1004,7,473,1941
2026-07-12,Finishing,D01,KC-1002,16,352,1445
2026-07-12,Inspection,S01,KC-1004,3,214,877
2026-07-19,Molding,P02,KC-1004,92,5889,24144
2026-07-19,Molding,P01,KC-1004,18,1153,4726
2026-07-19,Molding,P03,KC-1004,9,586,2404
2026-07-19,Melting,M01,KC-1004,15,928,3806
2026-07-19,Melting,M03,KC-1004,14,899,3686
2026-07-19,Core Room,C01,KC-1011,35,490,2010
2026-07-19,Heat Treat,H01,KC-1015,2,478,1960
2026-07-19,Finishing,D01,KC-1011,23,328,1344
2026-07-19,Inspection,S01,KC-1015,1,248,1016
2026-07-26,Molding,P02,KC-1015,27,6559,26892
2026-07-26,Molding,P01,KC-1015,5,1200,4920
2026-07-26,Molding,P03,KC-1015,2,520,2134
2026-07-26,Melting,M01,KC-1015,4,893,3660
2026-07-26,Melting,M03,KC-1015,4,870,3569
2026-07-26,Core Room,C01,KC-1022,9,415,1700
2026-07-26,Heat Treat,H01,KC-1026,61,521,2137
2026-07-26,Finishing,D01,KC-1022,7,334,1370
2026-07-26,Inspection,S01,KC-1026,30,251,1031
2026-08-02,Molding,P02,KC-1026,859,7305,29952
2026-08-02,Molding,P01,KC-1026,134,1143,4688
2026-08-02,Molding,P03,KC-1026,59,502,2059
2026-08-02,Melting,M01,KC-1026,114,968,3970
2026-08-02,Melting,M03,KC-1026,103,879,3605
2026-08-02,Core Room,C01,KC-1001,2,447,1834
2026-08-02,Heat Treat,H01,KC-1002,24,527,2160
2026-08-02,Finishing,D01,KC-1001,2,308,1263
2026-08-02,Inspection,S01,KC-1002,10,221,907
